Date,open,high,low,close
2009-06-22,918.1300048828125,918.1300048828125,893.0399780273438,893.0399780273438
2009-06-23,893.4600219726562,898.6900024414062,888.8599853515625,895.0999755859375
2009-06-24,896.3099975585938,910.8499755859375,896.3099975585938,900.9400024414062
2009-06-25,899.4500122070312,921.4199829101562,896.27001953125,920.260009765625
2009-06-26,918.8400268554688,922.0,913.030029296875,918.9000244140625
2009-06-29,919.8599853515625,927.989990234375,916.1799926757812,927.22998046875
2009-06-30,927.1500244140625,930.010009765625,912.8599853515625,919.3200073242188
2009-07-01,920.8200073242188,931.9199829101562,920.8200073242188,923.3300170898438
2009-07-02,921.239990234375,921.239990234375,896.4199829101562,896.4199829101562
2009-07-06,894.27001953125,898.719970703125,886.3599853515625,898.719970703125
2009-07-07,898.5999755859375,898.5999755859375,879.9299926757812,881.030029296875
2009-07-08,881.9000244140625,886.7999877929688,869.3200073242188,879.5599975585938
2009-07-09,881.280029296875,887.8599853515625,878.4500122070312,882.6799926757812
2009-07-10,880.030029296875,883.5700073242188,872.8099975585938,879.1300048828125
2009-07-13,879.5700073242188,901.0499877929688,875.3200073242188,901.0499877929688
2009-07-14,900.77001953125,905.8400268554688,896.5,905.8400268554688
2009-07-15,910.1500244140625,933.9500122070312,910.1500244140625,932.6799926757812
2009-07-16,930.1699829101562,943.9600219726562,927.4500122070312,940.739990234375
2009-07-17,940.5599975585938,941.8900146484375,934.6500244140625,940.3800048828125
2009-07-20,942.0700073242188,951.6199951171875,940.989990234375,951.1300048828125
2009-07-21,951.969970703125,956.530029296875,943.219970703125,954.5800170898438
2009-07-22,953.4000244140625,959.8300170898438,947.75,954.0700073242188
2009-07-23,954.0700073242188,979.4199829101562,953.27001953125,976.2899780273438
2009-07-24,972.1599731445312,979.7899780273438,965.9500122070312,979.260009765625
2009-07-27,978.6300048828125,982.489990234375,972.2899780273438,982.1799926757812
2009-07-28,981.47998046875,982.3499755859375,969.3499755859375,979.6199951171875
2009-07-29,977.6599731445312,977.760009765625,968.6500244140625,975.1500244140625
2009-07-30,976.010009765625,996.6799926757812,976.010009765625,986.75
2009-07-31,986.7999877929688,993.1799926757812,982.8499755859375,987.47998046875
2009-08-03,990.219970703125,1003.6099853515625,990.219970703125,1002.6300048828125
2009-08-04,1001.4099731445312,1007.1199951171875,996.6799926757812,1005.6500244140625
2009-08-05,1005.4099731445312,1006.6400146484375,994.3099975585938,1002.719970703125
2009-08-06,1004.0599975585938,1008.0,992.489990234375,997.0800170898438
2009-08-07,999.8300170898438,1018.0,999.8300170898438,1010.47998046875
2009-08-10,1008.8900146484375,1010.1199951171875,1000.989990234375,1007.0999755859375
2009-08-11,1005.77001953125,1005.77001953125,992.4000244140625,994.3499755859375
2009-08-12,994.0,1012.780029296875,993.3599853515625,1005.8099975585938
2009-08-13,1005.8599853515625,1013.1400146484375,1000.8200073242188,1012.72998046875
2009-08-14,1012.22998046875,1012.5999755859375,994.5999755859375,1004.0900268554688
2009-08-17,998.1799926757812,998.1799926757812,978.510009765625,979.72998046875
2009-08-18,980.6199951171875,991.2000122070312,980.6199951171875,989.6699829101562
2009-08-19,986.8800048828125,999.6099853515625,980.6199951171875,996.4600219726562
2009-08-20,996.4099731445312,1008.9199829101562,996.3900146484375,1007.3699951171875
2009-08-21,1009.0599975585938,1027.5899658203125,1009.0599975585938,1026.1300048828125
2009-08-24,1026.5899658203125,1035.8199462890625,1022.47998046875,1025.5699462890625
2009-08-25,1026.6300048828125,1037.75,1026.2099609375,1028.0
2009-08-26,1027.3499755859375,1032.469970703125,1021.5700073242188,1028.1199951171875
2009-08-27,1027.81005859375,1033.3299560546875,1016.2000122070312,1030.97998046875
2009-08-28,1031.6199951171875,1039.469970703125,1023.1300048828125,1028.9300537109375
2009-08-31,1025.2099609375,1025.2099609375,1014.6199951171875,1020.6199951171875
2009-09-01,1019.52001953125,1028.449951171875,996.280029296875,998.0399780273438
2009-09-02,996.0700073242188,1000.3400268554688,991.969970703125,994.75
2009-09-03,996.1199951171875,1003.4299926757812,992.25,1003.239990234375
2009-09-04,1003.8400268554688,1016.47998046875,1001.6500244140625,1016.4000244140625
2009-09-08,1018.6699829101562,1026.0699462890625,1018.6699829101562,1025.3900146484375
2009-09-09,1025.3599853515625,1036.3399658203125,1023.969970703125,1033.3699951171875
2009-09-10,1032.989990234375,1044.1400146484375,1028.0400390625,1044.1400146484375
2009-09-11,1043.9200439453125,1048.1800537109375,1038.4000244140625,1042.72998046875
2009-09-14,1040.1500244140625,1049.739990234375,1035.0,1049.3399658203125
2009-09-15,1049.030029296875,1056.0400390625,1043.4200439453125,1052.6300048828125
2009-09-16,1053.989990234375,1068.760009765625,1052.8699951171875,1068.760009765625
2009-09-17,1067.8699951171875,1074.77001953125,1061.199951171875,1065.489990234375
2009-09-18,1066.5999755859375,1071.52001953125,1064.27001953125,1068.300048828125
2009-09-21,1067.1400146484375,1067.280029296875,1057.4599609375,1064.6600341796875
2009-09-22,1066.3499755859375,1073.81005859375,1066.3499755859375,1071.6600341796875
2009-09-23,1072.68994140625,1080.1500244140625,1060.3900146484375,1060.8699951171875
2009-09-24,1062.56005859375,1066.2900390625,1045.8499755859375,1050.780029296875
2009-09-25,1049.47998046875,1053.469970703125,1041.1700439453125,1044.3800048828125
2009-09-28,1045.3800048828125,1065.1300048828125,1045.3800048828125,1062.97998046875
2009-09-29,1063.68994140625,1069.6199951171875,1057.8299560546875,1060.6099853515625
2009-09-30,1061.02001953125,1063.4000244140625,1046.469970703125,1057.0799560546875
2009-10-01,1054.9100341796875,1054.9100341796875,1029.449951171875,1029.8499755859375
2009-10-02,1029.7099609375,1030.5999755859375,1019.9500122070312,1025.2099609375
2009-10-05,1026.8699951171875,1042.5799560546875,1025.9200439453125,1040.4599609375
2009-10-06,1042.02001953125,1060.550048828125,1042.02001953125,1054.719970703125
2009-10-07,1053.6500244140625,1058.02001953125,1050.0999755859375,1057.5799560546875
2009-10-08,1060.030029296875,1070.6700439453125,1060.030029296875,1065.47998046875
2009-10-09,1065.280029296875,1071.510009765625,1063.0,1071.489990234375
2009-10-12,1071.6300048828125,1079.4599609375,1071.6300048828125,1076.18994140625
2009-10-13,1074.9599609375,1075.300048828125,1066.7099609375,1073.18994140625
2009-10-14,1078.6800537109375,1093.1700439453125,1078.6800537109375,1092.02001953125
2009-10-15,1090.3599853515625,1096.56005859375,1086.4100341796875,1096.56005859375
2009-10-16,1094.6700439453125,1094.6700439453125,1081.530029296875,1087.6800537109375
2009-10-19,1088.219970703125,1100.1700439453125,1086.47998046875,1097.9100341796875
2009-10-20,1098.6400146484375,1098.6400146484375,1086.1600341796875,1091.06005859375
2009-10-21,1090.3599853515625,1101.3599853515625,1080.77001953125,1081.4000244140625
2009-10-22,1080.9599609375,1095.2099609375,1074.31005859375,1092.9100341796875
2009-10-23,1095.6199951171875,1095.8299560546875,1075.489990234375,1079.5999755859375
2009-10-26,1080.3599853515625,1091.75,1065.22998046875,1066.949951171875
2009-10-27,1067.5400390625,1072.47998046875,1060.6199951171875,1063.4100341796875
2009-10-28,1061.510009765625,1063.260009765625,1042.18994140625,1042.6300048828125
2009-10-29,1043.68994140625,1066.8299560546875,1043.68994140625,1066.1099853515625
2009-10-30,1065.4100341796875,1065.4100341796875,1033.3800048828125,1036.18994140625
2009-11-02,1036.1800537109375,1052.1800537109375,1029.3800048828125,1042.8800048828125
2009-11-03,1040.9200439453125,1046.3599853515625,1033.93994140625,1045.4100341796875
2009-11-04,1047.1400146484375,1061.0,1045.1500244140625,1046.5
2009-11-05,1047.300048828125,1066.6500244140625,1047.300048828125,1066.6300048828125
2009-11-06,1064.949951171875,1071.47998046875,1059.3199462890625,1069.300048828125
2009-11-09,1072.31005859375,1093.18994140625,1072.31005859375,1093.0799560546875
2009-11-10,1091.8599853515625,1096.4200439453125,1087.4000244140625,1093.010009765625
2009-11-11,1096.0400390625,1105.3699951171875,1093.81005859375,1098.510009765625
2009-11-12,1098.31005859375,1101.969970703125,1084.9000244140625,1087.239990234375
2009-11-13,1087.5899658203125,1097.7900390625,1085.3299560546875,1093.47998046875
2009-11-16,1094.1300048828125,1113.68994140625,1094.1300048828125,1109.300048828125
2009-11-17,1109.219970703125,1110.52001953125,1102.18994140625,1110.3199462890625
2009-11-18,1109.43994140625,1111.0999755859375,1102.699951171875,1109.800048828125
2009-11-19,1106.43994140625,1106.43994140625,1088.4000244140625,1094.9000244140625
2009-11-20,1094.6600341796875,1094.6600341796875,1086.81005859375,1091.3800048828125
2009-11-23,1094.8599853515625,1112.3800048828125,1094.8599853515625,1106.239990234375
2009-11-24,1105.8299560546875,1107.56005859375,1097.6300048828125,1105.6500244140625
2009-11-25,1106.489990234375,1111.1800537109375,1104.75,1110.6300048828125
2009-11-27,1105.469970703125,1105.469970703125,1083.739990234375,1091.489990234375
2009-11-30,1091.0699462890625,1097.239990234375,1086.25,1095.6300048828125
2009-12-01,1098.8900146484375,1112.280029296875,1098.8900146484375,1108.8599853515625
2009-12-02,1109.030029296875,1115.5799560546875,1105.2900390625,1109.239990234375
2009-12-03,1110.5899658203125,1117.280029296875,1098.739990234375,1099.9200439453125
2009-12-04,1100.4300537109375,1119.1300048828125,1096.52001953125,1105.97998046875
2009-12-07,1105.52001953125,1110.719970703125,1100.8299560546875,1103.25
2009-12-08,1103.0400390625,1103.0400390625,1088.6099853515625,1091.93994140625
2009-12-09,1091.0699462890625,1097.0400390625,1085.8900146484375,1095.949951171875
2009-12-10,1098.68994140625,1106.25,1098.68994140625,1102.3499755859375
2009-12-11,1103.9599609375,1108.5,1101.3399658203125,1106.4100341796875
2009-12-14,1107.8399658203125,1114.760009765625,1107.8399658203125,1114.1099853515625
2009-12-15,1114.1099853515625,1114.1099853515625,1105.3499755859375,1107.9300537109375
2009-12-16,1108.6099853515625,1116.2099609375,1107.9599609375,1109.1800537109375
2009-12-17,1106.3599853515625,1106.3599853515625,1095.8800048828125,1096.0799560546875
2009-12-18,1097.8599853515625,1103.739990234375,1093.8800048828125,1102.469970703125
2009-12-21,1105.31005859375,1117.6800537109375,1105.31005859375,1114.050048828125
2009-12-22,1114.510009765625,1120.27001953125,1114.510009765625,1118.02001953125
2009-12-23,1118.8399658203125,1121.5799560546875,1116.0,1120.5899658203125
2009-12-24,1121.0799560546875,1126.47998046875,1121.0799560546875,1126.47998046875
2009-12-28,1127.530029296875,1130.3800048828125,1123.510009765625,1127.780029296875
2009-12-29,1128.550048828125,1130.3800048828125,1126.0799560546875,1126.199951171875
2009-12-30,1125.530029296875,1126.4200439453125,1121.93994140625,1126.4200439453125
2009-12-31,1126.5999755859375,1127.6400146484375,1114.81005859375,1115.0999755859375
2010-01-04,1116.56005859375,1133.8699951171875,1116.56005859375,1132.989990234375
2010-01-05,1132.6600341796875,1136.6300048828125,1129.6600341796875,1136.52001953125
2010-01-06,1135.7099609375,1139.18994140625,1133.949951171875,1137.1400146484375
2010-01-07,1136.27001953125,1142.4599609375,1131.3199462890625,1141.68994140625
2010-01-08,1140.52001953125,1145.3900146484375,1136.219970703125,1144.97998046875
2010-01-11,1145.9599609375,1149.739990234375,1142.02001953125,1146.97998046875
2010-01-12,1143.81005859375,1143.81005859375,1131.77001953125,1136.219970703125
2010-01-13,1137.31005859375,1148.4000244140625,1133.1800537109375,1145.6800537109375
2010-01-14,1145.6800537109375,1150.4100341796875,1143.800048828125,1148.4599609375
2010-01-15,1147.719970703125,1147.77001953125,1131.3900146484375,1136.030029296875
2010-01-19,1136.030029296875,1150.449951171875,1135.77001953125,1150.22998046875
2010-01-20,1147.949951171875,1147.949951171875,1129.25,1138.0400390625
2010-01-21,1138.6800537109375,1141.5799560546875,1114.8399658203125,1116.47998046875
2010-01-22,1115.489990234375,1115.489990234375,1090.1800537109375,1091.760009765625
2010-01-25,1092.4000244140625,1102.969970703125,1092.4000244140625,1096.780029296875
2010-01-26,1095.800048828125,1103.68994140625,1089.8599853515625,1092.1700439453125
2010-01-27,1091.93994140625,1099.510009765625,1083.1099853515625,1097.5
2010-01-28,1096.9300537109375,1100.219970703125,1078.4599609375,1084.530029296875
2010-01-29,1087.6099853515625,1096.449951171875,1071.5899658203125,1073.8699951171875
2010-02-01,1073.8900146484375,1089.3800048828125,1073.8900146484375,1089.18994140625
2010-02-02,1090.050048828125,1104.72998046875,1087.9599609375,1103.3199462890625
2010-02-03,1100.6700439453125,1102.719970703125,1093.969970703125,1097.280029296875
2010-02-04,1097.25,1097.25,1062.780029296875,1063.1099853515625
2010-02-05,1064.1199951171875,1067.1300048828125,1044.5,1066.18994140625
2010-02-08,1065.510009765625,1071.199951171875,1056.510009765625,1056.739990234375
2010-02-09,1060.06005859375,1079.280029296875,1060.06005859375,1070.52001953125
2010-02-10,1069.6800537109375,1073.6700439453125,1059.3399658203125,1068.1300048828125
2010-02-11,1067.0999755859375,1080.0400390625,1060.5899658203125,1078.469970703125
2010-02-12,1075.949951171875,1077.81005859375,1062.969970703125,1075.510009765625
2010-02-16,1079.1300048828125,1095.6700439453125,1079.1300048828125,1094.8699951171875
2010-02-17,1096.1400146484375,1101.030029296875,1094.719970703125,1099.510009765625
2010-02-18,1099.030029296875,1108.239990234375,1097.47998046875,1106.75
2010-02-19,1105.489990234375,1112.4200439453125,1100.800048828125,1109.1700439453125
2010-02-22,1110.0,1112.2900390625,1105.3800048828125,1108.010009765625
2010-02-23,1107.489990234375,1108.5799560546875,1092.1800537109375,1094.5999755859375
2010-02-24,1095.8900146484375,1106.4200439453125,1095.5,1105.239990234375
2010-02-25,1101.239990234375,1103.5,1086.02001953125,1102.93994140625
2010-02-26,1103.0999755859375,1107.239990234375,1097.56005859375,1104.489990234375
2010-03-01,1105.3599853515625,1116.1099853515625,1105.3599853515625,1115.7099609375
2010-03-02,1117.010009765625,1123.4599609375,1116.510009765625,1118.31005859375
2010-03-03,1119.3599853515625,1125.6400146484375,1116.5799560546875,1118.7900390625
2010-03-04,1119.1199951171875,1123.72998046875,1116.6600341796875,1122.969970703125
2010-03-05,1125.1199951171875,1139.3800048828125,1125.1199951171875,1138.699951171875
2010-03-08,1138.4000244140625,1141.050048828125,1136.77001953125,1138.5
2010-03-09,1137.56005859375,1145.3699951171875,1134.9000244140625,1140.449951171875
2010-03-10,1140.219970703125,1148.260009765625,1140.0899658203125,1145.6099853515625
2010-03-11,1143.9599609375,1150.239990234375,1138.989990234375,1150.239990234375
2010-03-12,1151.7099609375,1153.4100341796875,1146.969970703125,1149.989990234375
2010-03-15,1148.530029296875,1150.97998046875,1141.449951171875,1150.510009765625
2010-03-16,1150.8299560546875,1160.280029296875,1150.3499755859375,1159.4599609375
2010-03-17,1159.93994140625,1169.8399658203125,1159.93994140625,1166.2099609375
2010-03-18,1166.1300048828125,1167.77001953125,1161.1600341796875,1165.8299560546875
2010-03-19,1166.6800537109375,1169.199951171875,1155.3299560546875,1159.9000244140625
2010-03-22,1157.25,1167.8199462890625,1152.8800048828125,1165.81005859375
2010-03-23,1166.469970703125,1174.719970703125,1163.8299560546875,1174.1700439453125
2010-03-24,1172.699951171875,1173.0400390625,1166.010009765625,1167.719970703125
2010-03-25,1170.030029296875,1180.68994140625,1165.0899658203125,1165.72998046875
2010-03-26,1167.5799560546875,1173.9300537109375,1161.47998046875,1166.5899658203125
2010-03-29,1167.7099609375,1174.8499755859375,1167.7099609375,1173.219970703125
2010-03-30,1173.75,1177.8299560546875,1168.9200439453125,1173.27001953125
2010-03-31,1171.75,1174.56005859375,1165.77001953125,1169.4300537109375
2010-04-01,1171.22998046875,1181.4300537109375,1170.68994140625,1178.0999755859375
